TransactionID,Item
T0001,['Bread']
T0002,"['Eggs', 'Tomatoes', 'Butter']"
T0003,['Beef']
T0004,"['Apples', 'Bread', 'Beef', 'Chicken', 'Milk']"
T0005,"['Tomatoes', 'Bread', 'Eggs', 'Bananas', 'Apples']"
T0006,"['Apples', 'Eggs', 'Chicken', 'Cheese', 'Butter']"
T0007,"['Apples', 'Bananas']"
T0008,"['Eggs', 'Bananas']"
T0009,['Apples']
T0010,"['Bananas', 'Cheese', 'Bread']"
T0011,"['Beef', 'Milk', 'Apples', 'Bread']"
T0012,"['Tomatoes', 'Bananas', 'Eggs']"
T0013,['Bread']
T0014,"['Cheese', 'Milk']"
T0015,['Apples']
T0016,"['Bananas', 'Butter', 'Tomatoes', 'Beef']"
T0017,"['Milk', 'Butter', 'Eggs']"
T0018,"['Apples', 'Cheese', 'Eggs', 'Bananas']"
T0019,['Eggs']
T0020,"['Apples', 'Cheese', 'Milk']"
T0021,"['Bananas', 'Eggs', 'Chicken', 'Beef', 'Tomatoes']"
T0022,"['Cheese', 'Butter']"
T0023,"['Beef', 'Cheese', 'Apples', 'Tomatoes', 'Eggs']"
T0024,"['Butter', 'Beef']"
T0025,['Bread']
T0026,"['Butter', 'Apples']"
T0027,['Apples']
T0028,"['Chicken', 'Beef', 'Cheese', 'Tomatoes', 'Bread']"
T0029,['Beef']
T0030,"['Bananas', 'Milk', 'Cheese']"
T0031,"['Chicken', 'Bread']"
T0032,"['Beef', 'Butter', 'Milk']"
T0033,"['Beef', 'Eggs', 'Butter']"
T0034,"['Beef', 'Tomatoes']"
T0035,"['Bananas', 'Chicken', 'Bread', 'Beef', 'Butter']"
T0036,"['Bread', 'Eggs']"
T0037,['Milk']
T0038,"['Milk', 'Beef', 'Butter', 'Tomatoes']"
T0039,"['Beef', 'Butter', 'Cheese', 'Chicken']"
T0040,"['Eggs', 'Beef', 'Tomatoes', 'Bananas']"
T0041,"['Bananas', 'Chicken', 'Beef', 'Bread']"
T0042,"['Milk', 'Bananas']"
T0043,"['Beef', 'Eggs', 'Tomatoes', 'Bread', 'Apples']"
T0044,['Eggs']
T0045,['Bananas']
T0046,"['Eggs', 'Cheese', 'Chicken', 'Milk', 'Beef']"
T0047,"['Tomatoes', 'Chicken', 'Eggs', 'Apples', 'Beef']"
