antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Chicken'}),frozenset({'Beef'}),0.318,0.338,0.132,0.41509433962264153,1.2280897621971643,1.0,0.024515999999999996,1.1318064516129032,0.2723273793655025,0.25190839694656486,0.11645670637861257,0.4028134420006699
frozenset({'Beef'}),frozenset({'Chicken'}),0.338,0.318,0.132,0.3905325443786982,1.2280897621971643,1.0,0.024515999999999996,1.1190097087378639,0.28055479263938476,0.25190839694656486,0.1063527043675927,0.4028134420006699
frozenset({'Milk'}),frozenset({'Eggs'}),0.32,0.272,0.106,0.33125,1.2178308823529411,1.0,0.01895999999999999,1.0885981308411214,0.2630410654827968,0.2181069958847736,0.0813873626373626,0.3604779411764706
frozenset({'Eggs'}),frozenset({'Milk'}),0.272,0.32,0.106,0.3897058823529411,1.217830882352941,1.0,0.01895999999999999,1.1142168674698794,0.2456976985278871,0.2181069958847736,0.10250865051903106,0.3604779411764706
frozenset({'Chicken'}),frozenset({'Cheese'}),0.318,0.296,0.108,0.33962264150943394,1.147373788883223,1.0,0.013871999999999995,1.0660571428571426,0.18833496252851087,0.2134387351778656,0.0619639794168096,0.3522437531871494
frozenset({'Cheese'}),frozenset({'Chicken'}),0.296,0.318,0.108,0.36486486486486486,1.1473737888832227,1.0,0.013871999999999995,1.0737872340425532,0.18244949494949492,0.2134387351778656,0.06871681065229451,0.3522437531871494
frozenset({'Tomatoes'}),frozenset({'Eggs'}),0.344,0.272,0.106,0.3081395348837209,1.1328659370725034,1.0,0.012431999999999999,1.052235294117647,0.1787850897376898,0.20784313725490194,0.049642218246869374,0.348922708618331
frozenset({'Eggs'}),frozenset({'Tomatoes'}),0.272,0.344,0.106,0.3897058823529411,1.1328659370725034,1.0,0.012431999999999999,1.0748915662650602,0.1611030478955007,0.20784313725490194,0.06967360114777614,0.348922708618331
frozenset({'Tomatoes'}),frozenset({'Apples'}),0.344,0.312,0.12,0.3488372093023256,1.118067978533095,1.0,0.012672000000000003,1.0565714285714285,0.1609756097560976,0.2238805970149254,0.0535424553812872,0.36672629695885506
frozenset({'Apples'}),frozenset({'Tomatoes'}),0.312,0.344,0.12,0.3846153846153846,1.1180679785330947,1.0,0.012672000000000003,1.066,0.1534883720930233,0.2238805970149254,0.061913696060037514,0.36672629695885506
